code,code_0,code_1,code_2,code_3,code_4,description,level,source
E40-E46,E00-E89,,,,,Desnutrición,1,icdcode.info
E50-E64,E00-E89,,,,,Otras deficiencias nutricionales,1,icdcode.info
E65-E68,E00-E89,,,,,Obesidad y otros tipos de hiperalimentación,1,icdcode.info
E70-E90,E00-E89,,,,,Trastornos metabólicos,1,icdcode.info
P00-P04,P00-P96,,,,,"Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto",1,icdcode.info
P05-P08,P00-P96,,,,,Trastornos relacionados con la duración de la gestación y el crecimiento fetal,1,icdcode.info
P10-P15,P00-P96,,,,,Traumatismo del nacimiento,1,icdcode.info
P20-P29,P00-P96,,,,,Trastornos respiratorios y cardiovasculares específicos del período perinatal,1,icdcode.info
P35-P39,P00-P96,,,,,Infecciones específicas del período perinatal,1,icdcode.info
P50-P61,P00-P96,,,,,Trastornos hemorrágicos y hematológicos del feto y del recién nacido,1,icdcode.info
P70-P74,P00-P96,,,,,Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido,1,icdcode.info
D80-D89,D50-D89,,,,,Ciertos trastornos que afectan el mecanismo de la inmunidad,1,icdcode.info
O00-O08,O00-O9A,,,,,Embarazo terminado en aborto,1,icdcode.info
O10-O16,O00-O9A,,,,,"Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio",1,icdcode.info
O20-O29,O00-O9A,,,,,Otros trastornos maternos relacionados principalmente con el embarazo,1,icdcode.info
O30-O48,O00-O9A,,,,,Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto,1,icdcode.info
N00-N08,N00-N99,,,,,Enfermedades glomerulares,1,icdcode.info
N10-N16,N00-N99,,,,,Enfermedad renal tubulointersticial,1,icdcode.info
N17-N19,N00-N99,,,,,Insuficiencia renal,1,icdcode.info
N20-N23,N00-N99,,,,,Litiasis urinaria,1,icdcode.info
N25-N29,N00-N99,,,,,Otros trastornos del riñón y del uréter,1,icdcode.info
A20-A28,A00-B99,,,,,Ciertas zoonosis bacterianas,1,icdcode.info
A30-A49,A00-B99,,,,,Otras enfermedades bacterianas,1,icdcode.info
A50-A64,A00-B99,,,,,predominantemente sexual,1,icdcode.info
A65-A69,A00-B99,,,,,Otras enfermedades debidas a espiroquetas,1,icdcode.info
A70-A74,A00-B99,,,,,Otras enfermedades causadas por clamidias,1,icdcode.info
A75-A79,A00-B99,,,,,Rickettsiosis,1,icdcode.info
A80-A89,A00-B99,,,,,Infecciones virales del sistema nervioso central,1,icdcode.info
A90-A99,A00-B99,,,,,Fiebres virales transmitidas por artrópodos y fiebres virales hemorrágicas,1,icdcode.info
B00-B09,A00-B99,,,,,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas,1,icdcode.info
M00-M25,M00-M99,,,,,Artropatías,1,icdcode.info
M30-M36,M00-M99,,,,,Trastornos sistémicos del tejido conjuntivo,1,icdcode.info
M40-M54,M00-M99,,,,,Dorsopatías,1,icdcode.info
M60-M79,M00-M99,,,,,Trastornos de los tejidos blandos,1,icdcode.info
M80-M94,M00-M99,,,,,Osteopatías y condropatías,1,icdcode.info
L00-L08,L00-L99,,,,,Infecciones de la piel y del tejido subcutáneo,1,icdcode.info
L10-L14,L00-L99,,,,,Trastornos flictenulares,1,icdcode.info
L20-L30,L00-L99,,,,,Dermatitis y eczema,1,icdcode.info
L40-L45,L00-L99,,,,,Trastornos papuloescamosos,1,icdcode.info
L50-L54,L00-L99,,,,,Urticaria y eritema,1,icdcode.info
K00-K14,K00-K95,,,,,"Enfermedades de la cavidad bucal, de las glándulas salivales y de los maxilares",1,icdcode.info
K20-K31,K00-K95,,,,,"Enfermedades del esófago, del estómago y del duodeno",1,icdcode.info
K35-K38,K00-K95,,,,,Enfermedades del apéndice,1,icdcode.info
K40-K46,K00-K95,,,,,Hernia,1,icdcode.info
K50-K52,K00-K95,,,,,Enteritis y colitis no infecciosas,1,icdcode.info
K55-K63,K00-K95,,,,,Otras enfermedades de los intestinos,1,icdcode.info
J00-J06,J00-J99,,,,,Infecciones agudas de las vías respiratorias superiores,1,icdcode.info
J09-J18 ,J00-J99,,,,,Influenza [gripe] y neumonía ,1,icdcode.info
J20-J22,J00-J99,,,,,Otras infecciones agudas de las vías respiratorias inferiores,1,icdcode.info
J30-J39 ,J00-J99,,,,,Otras enfermedades de las vías respiratorias superiores,1,icdcode.info
I00-I02,I00-I99,,,,,Fiebre reumática aguda,1,icdcode.info
I05-I09,I00-I99,,,,,Enfermedades cardíacas reumáticas crónicas,1,icdcode.info
I10-I15,I00-I99,,,,,Enfermedades hipertensivas,1,icdcode.info
I20-I25,I00-I99,,,,,Enfermedades isquémicas del corazón,1,icdcode.info
S40-S49,S00-T88,,,,,Traumatismos del hombro y del brazo,1,icdcode.info
S50-S59,S00-T88,,,,,Traumatismos del antebrazo y del codo,1,icdcode.info
S60-S69,S00-T88,,,,,Traumatismos de la muñeca y de la mano,1,icdcode.info
S70-S79,S00-T88,,,,,Traumatismos de la cadera y del muslo,1,icdcode.info
S80-S89,S00-T88,,,,,Traumatismos de la rodilla y de la pierna,1,icdcode.info
S90-S99,S00-T88,,,,,Traumatismos del tobillo y del pie,1,icdcode.info
T00-T07,S00-T88,,,,,Traumatismos que afectan múltiples regiones del cuerpo,1,icdcode.info
Z00-Z13,Z00-Z99,,,,,Personas en contacto con los servicios de salud para investigación y exámenes,1,icdcode.info
Z20-Z29,Z00-Z99,,,,,"Personas con riesgos potenciales para su salud, relacionados con enfermedades transmisibles",1,icdcode.info
Z30-Z39,Z00-Z99,,,,,Personas en contacto con los servicios de salud en circunstancias relacionadas con la reproducción,1,icdcode.info
V01-X59,V01-Y99,,,,,Accidentes,1,icdcode.info
X60-X84,V01-Y99,,,,,Lesiones autoinfligidas intencionalmente,1,icdcode.info
X85-Y09,V01-Y99,,,,,Agresiones,1,icdcode.info
Y10-Y34,V01-Y99,,,,,Eventos de intención no determinada,1,icdcode.info
Y35-Y36,V01-Y99,,,,,Intervención legal y operaciones de guerra,1,icdcode.info
Y40-Y84,V01-Y99,,,,,Complicaciones de la atención médica y quirúrgica,1,icdcode.info
H90,H60-H95,H90-H95,,,,Hipoacusia conductiva y neurosensorial,2,icdcode.info
H91,H60-H95,H90-H95,,,,Otras hipoacusias,2,icdcode.info
H92,H60-H95,H90-H95,,,,Otalgia y secreción del oído,2,icdcode.info
H80,H60-H95,H80-H83,,,,Otosclerosis,2,icdcode.info
H81,H60-H95,H80-H83,,,,Trastornos de la función vestibular,2,icdcode.info
H82,H60-H95,H80-H83,,,,Síndromes vertiginosos en enfermedades clasificadas en otra parte,2,icdcode.info
H83,H60-H95,H80-H83,,,,Otros trastornos del oído interno,2,icdcode.info
H65,H60-H95,H65-H75,,,,Otitis media no supurativa,2,icdcode.info
H66,H60-H95,H65-H75,,,,Otitis media supurativa y la no especificada,2,icdcode.info
H67,H60-H95,H65-H75,,,,Otitis media en enfermedades clasificadas en otra parte,2,icdcode.info
H60,H60-H95,H60-H62,,,,Otitis externa,2,icdcode.info
H61,H60-H95,H60-H62,,,,Otros trastornos del oído externo,2,icdcode.info
H62,H60-H95,H60-H62,,,,Trastornos del oído externo en enfermedades clasificadas en otra parte,2,icdcode.info
H15,H00-H59,H15-H22,,,,Trastornos de la esclerótica,2,icdcode.info
H16,H00-H59,H15-H22,,,,Queratitis,2,icdcode.info
H17,H00-H59,H15-H22,,,,Opacidades y cicatrices corneales,2,icdcode.info
H18,H00-H59,H15-H22,,,,Otros trastornos de la córnea,2,icdcode.info
H19,H00-H59,H15-H22,,,,Trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte,2,icdcode.info
H20,H00-H59,H15-H22,,,,Iridociclitis,2,icdcode.info
H21,H00-H59,H15-H22,,,,Otros trastornos del iris y del cuerpo ciliar,2,icdcode.info
H22,H00-H59,H15-H22,,,,Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte,2,icdcode.info
R50-R69,R00-R99,,,,,Síntomas y signos generales,1,icdcode.info
R70-R79,R00-R99,,,,,sin diagnóstico,1,icdcode.info
R80-R82,R00-R99,,,,,"Hallazgos anormales en el examen de orina, sin diagnóstico",1,icdcode.info
R83-R89,R00-R99,,,,,"Hallazgos anormales en el examen de otros líquidos, sustancias y tejidos corporales, sin diagnóstico",1,icdcode.info
R90-R94,R00-R99,,,,,"Hallazgos anormales en diagnóstico por imágenes y en estudios funcionales, sin diagnóstico",1,icdcode.info
R95-R99,R00-R99,,,,,Causas de mortalidad mal definidas y desconocidas,1,icdcode.info
H10,H00-H59,H10-H13,,,,Conjuntivitis,2,icdcode.info
H11,H00-H59,H10-H13,,,,Otros trastornos de la conjuntiva,2,icdcode.info
H13,H00-H59,H10-H13,,,,Trastornos de la conjuntiva en enfermedades clasificadas en otra parte,2,icdcode.info
Q35-Q37,Q00-Q99,,,,,Fisura del paladar y labio leporino,1,icdcode.info
Q38-Q45,Q00-Q99,,,,,Otras malformaciones congénitas del sistema digestivo,1,icdcode.info
Q50-Q56,Q00-Q99,,,,,Malformaciones congénitas de los órganos genitales,1,icdcode.info
Q60-Q64,Q00-Q99,,,,,Malformaciones congénitas del sistema urinario,1,icdcode.info
Q65-Q79,Q00-Q99,,,,,Malformaciones y deformidades congénitas del sistema osteomuscular,1,icdcode.info
Q80-Q89,Q00-Q99,,,,,Otras malformaciones congénitas,1,icdcode.info
Q90-Q99,Q00-Q99,,,,,"Anomalías cromosómicas, no clasificadas en otra parte",1,icdcode.info
H00,H00-H59,H00-H06,,,,Orzuelo y calacio,2,icdcode.info
H01,H00-H59,H00-H06,,,,Otras inflamaciones del párpado,2,icdcode.info
H02,H00-H59,H00-H06,,,,Otros trastornos de los párpados,2,icdcode.info
H03,H00-H59,H00-H06,,,,Trastornos del párpado en enfermedades clasificadas en otra parte,2,icdcode.info
H04,H00-H59,H00-H06,,,,Trastornos del aparato lagrimal,2,icdcode.info
H05,H00-H59,H00-H06,,,,Trastornos de la órbita,2,icdcode.info
H06,H00-H59,H00-H06,,,,Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte,2,icdcode.info
P75-P78,P00-P96,,,,,Trastornos del sistema digestivo del feto y del recién nacido,1,icdcode.info
P80-P83,P00-P96,,,,,Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido,1,icdcode.info
P90-P96,P00-P96,,,,,Otros trastornos originados en el período perinatal,1,icdcode.info
O60-O75,O00-O9A,,,,,Complicaciones del trabajo de parto y del parto,1,icdcode.info
O80-O84,O00-O9A,,,,,Parto,1,icdcode.info
O85-O92,O00-O9A,,,,,Complicaciones principalmente relacionadas con el puerperio,1,icdcode.info
O94-O99,O00-O9A,,,,,Otras afecciones obstétricas no clasificadas en otra parte,1,icdcode.info
F40,F01-F99,F40-F48,,,,Trastornos fóbicos de ansiedad,2,icdcode.info
F41,F01-F99,F40-F48,,,,Otros trastornos de ansiedad,2,icdcode.info
F42,F01-F99,F40-F48,,,,Trastorno obsesivo-compulsivo,2,icdcode.info
F43,F01-F99,F40-F48,,,,Reacción al estrés grave y trastornos de adaptación,2,icdcode.info
F44,F01-F99,F40-F48,,,,Trastornos disociativos [de conversión],2,icdcode.info
F45,F01-F99,F40-F48,,,,Trastornos somatomorfos,2,icdcode.info
F48,F01-F99,F40-F48,,,,Otros trastornos neuróticos,2,icdcode.info
N30-N39,N00-N99,,,,,Otras enfermedades del sistema urinario,1,icdcode.info
N40-N51,N00-N99,,,,,Enfermedades de los órganos genitales masculinos,1,icdcode.info
N60-N64,N00-N99,,,,,Trastornos de la mama,1,icdcode.info
N70-N77,N00-N99,,,,,Enfermedades inflamatorias de los órganos pélvicos femeninos,1,icdcode.info
N80-N98,N00-N99,,,,,Trastornos no inflamatorios de los órganos genitales femeninos,1,icdcode.info
N99,N00-N99,,,,,"Trastornos del sistema genitourinario consecutivos a procedimientos, no clasificados en otra parte",1,icdcode.info
F30,F01-F99,F30-F39,,,,Episodio maníaco,2,icdcode.info
F31,F01-F99,F30-F39,,,,Trastorno afectivo bipolar,2,icdcode.info
F32,F01-F99,F30-F39,,,,Episodio depresivo,2,icdcode.info
F33,F01-F99,F30-F39,,,,Trastorno depresivo recurrente,2,icdcode.info
F34,F01-F99,F30-F39,,,,Trastornos del humor [afectivos] persistentes,2,icdcode.info
F38,F01-F99,F30-F39,,,,Otros trastornos del humor [afectivos],2,icdcode.info
F39,F01-F99,F30-F39,,,,"Trastorno del humor [afectivo], no especificado",2,icdcode.info
F20,F01-F99,F20-F29,,,,Esquizofrenia,2,icdcode.info
F21,F01-F99,F20-F29,,,,Trastorno esquizotípico,2,icdcode.info
F22,F01-F99,F20-F29,,,,Trastornos delirantes persistentes,2,icdcode.info
F23,F01-F99,F20-F29,,,,Trastornos psicóticos agudos y transitorios,2,icdcode.info
F24,F01-F99,F20-F29,,,,Trastorno delirante inducido,2,icdcode.info
B15-B19,A00-B99,,,,,Hepatitis viral,1,icdcode.info
B20-B24,A00-B99,,,,,Enfermedad por virus de la inmunodeficiencia ­humana [VIH],1,icdcode.info
B25-B34,A00-B99,,,,,Otras enfermedades virales,1,icdcode.info
B35-B49,A00-B99,,,,,Micosis,1,icdcode.info
B50-B64,A00-B99,,,,,Enfermedades debidas a protozoarios,1,icdcode.info
B65-B83,A00-B99,,,,,Helmintiasis,1,icdcode.info
B85-B89,A00-B99,,,,,"Pediculosis, acariasis y otras infestaciones",1,icdcode.info
B90-B94,A00-B99,,,,,Secuelas de enfermedades infecciosas y parasitarias,1,icdcode.info
B95-B97,A00-B99,,,,,"Bacterias, virus y otros agentes infecciosos",1,icdcode.info
B99,A00-B99,,,,,Otras enfermedades infecciosas y las no especificadas,1,icdcode.info
F10,F01-F99,F10-F19,,,,Trastornos mentales y del comportamiento ­debidos al uso de alcohol,2,icdcode.info
F11,F01-F99,F10-F19,,,,Trastornos mentales y del comportamiento ­debidos al uso de opiáceos,2,icdcode.info
F12,F01-F99,F10-F19,,,,Trastornos mentales y del comportamiento debidos al uso de cannabinoides,2,icdcode.info
F13,F01-F99,F10-F19,,,,Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos,2,icdcode.info
F14,F01-F99,F10-F19,,,,Trastornos mentales y del comportamiento debidos al uso de cocaína,2,icdcode.info
F15,F01-F99,F10-F19,,,,"Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluida la cafeína",2,icdcode.info
M95-M99,M00-M99,,,,,Otros trastornos del sistema osteomuscular y del tejido conjuntivo,1,icdcode.info
F00,F01-F99,F00-F09,,,,Demencia en la enfermedad de Alzheimer (G30.–),2,icdcode.info
F01,F01-F99,F00-F09,,,,Demencia vascular,2,icdcode.info
F02,F01-F99,F00-F09,,,,Demencia en otras enfermedades clasificadas en otra parte,2,icdcode.info
L55-L59,L00-L99,,,,,Trastornos de la piel y del tejido subcutáneo relacionados con radiación,1,icdcode.info
L60-L75,L00-L99,,,,,Trastornos de las faneras,1,icdcode.info
L80-L99,L00-L99,,,,,Otros trastornos de la piel y del tejido subcutáneo,1,icdcode.info
H53,H00-H59,H53-H54,,,,Alteraciones de la visión,2,icdcode.info
H54,H00-H59,H53-H54,,,,Ceguera y disminución de la agudeza visual,2,icdcode.info
K65-K67,K00-K95,,,,,Enfermedades del peritoneo,1,icdcode.info
K70-K77,K00-K95,,,,,Enfermedades del hígado,1,icdcode.info
K80-K87,K00-K95,,,,,"Trastornos de la vesícula biliar, de las vías biliares y del páncreas",1,icdcode.info
K90-K93,K00-K95,,,,,Otras enfermedades del sistema digestivo,1,icdcode.info
J40-J47,J00-J99,,,,,Enfermedades crónicas de las vías respiratorias inferiores,1,icdcode.info
J60-J70,J00-J99,,,,,Enfermedades del pulmón debidas a agentes externos,1,icdcode.info
J80-J84,J00-J99,,,,,Otras enfermedades respiratorias que afectan principalmente al intersticio,1,icdcode.info
J85-J86,J00-J99,,,,,Afecciones supurativas y necróticas de las vías respiratorias inferiores,1,icdcode.info
J90-J94 ,J00-J99,,,,,Otras,1,icdcode.info
J95-J99,J00-J99,,,,,Otras enfermedades del sistema respiratorio,1,icdcode.info
H49,H00-H59,H49-H52,,,,Estrabismo paralítico,2,icdcode.info
H50,H00-H59,H49-H52,,,,Otros estrabismos,2,icdcode.info
H51,H00-H59,H49-H52,,,,Otros trastornos de los movimientos binoculares,2,icdcode.info
H52,H00-H59,H49-H52,,,,Trastornos de la acomodación y de la refracción,2,icdcode.info
I26-I28,I00-I99,,,,,Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar,1,icdcode.info
I30-I52,I00-I99,,,,,Otras formas de enfermedad del corazón,1,icdcode.info
I60-I69,I00-I99,,,,,Enfermedades cerebrovasculares,1,icdcode.info
I70-I79,I00-I99,,,,,"Enfermedades de las arterias, de las arteriolas y de los vasos capilares",1,icdcode.info
I80-I89,I00-I99,,,,,"Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte",1,icdcode.info
I95-I99,I00-I99,,,,,Otros trastornos y los no especificados del sistema circulatorio,1,icdcode.info
H46,H00-H59,H46-H48,,,,Neuritis óptica,2,icdcode.info
H47,H00-H59,H46-H48,,,,Otros trastornos del nervio óptico [II par] y de las vías ópticas,2,icdcode.info
H48,H00-H59,H46-H48,,,,Trastornos del nervio óptico [II par] y de las vías ópticas en enfermedades clasificadas en otra parte,2,icdcode.info
H43,H00-H59,H43-H45,,,,Trastornos del cuerpo vítreo,2,icdcode.info
H44,H00-H59,H43-H45,,,,Trastornos del globo ocular,2,icdcode.info
H45,H00-H59,H43-H45,,,,Trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parte,2,icdcode.info
H40,H00-H59,H40-H42,,,,Glaucoma,2,icdcode.info
H42,H00-H59,H40-H42,,,,Glaucoma en enfermedades clasificadas en otra parte,2,icdcode.info
H30,H00-H59,H30-H36,,,,Inflamación coriorretiniana,2,icdcode.info
H31,H00-H59,H30-H36,,,,Otros trastornos de la coroides,2,icdcode.info
H32,H00-H59,H30-H36,,,,Trastornos coriorretinianos en enfermedades clasificadas en otra parte,2,icdcode.info
T08-T14,S00-T88,,,,,"Traumatismos de parte no especificada del tronco, miembro o región del cuerpo",1,icdcode.info
T15-T19,S00-T88,,,,,Efectos de cuerpos extraños que penetran por orificios naturales,1,icdcode.info
T20-T32,S00-T88,,,,,Quemaduras y corrosiones,1,icdcode.info
T33-T35,S00-T88,,,,,Congelamiento,1,icdcode.info
T36-T50,S00-T88,,,,,"Envenenamiento por drogas, medicamentos y sustancias biológicas",1,icdcode.info
T51-T65,S00-T88,,,,,Efectos tóxicos de sustancias de procedencia principalmente no medicinal,1,icdcode.info
T66-T78,S00-T88,,,,,Otros efectos y los no especificados de causas externas,1,icdcode.info
T79,S00-T88,,,,,"Algunas complicaciones precoces de traumatismos, no clasificadas en otra parte",1,icdcode.info
T80-T88,S00-T88,,,,,"Complicaciones de la atención médica y quirúrgica, no clasificadas en otra parte",1,icdcode.info
H25,H00-H59,H25-H28,,,,Catarata senil,2,icdcode.info
H26,H00-H59,H25-H28,,,,Otras cataratas,2,icdcode.info
H27,H00-H59,H25-H28,,,,Otros trastornos del cristalino,2,icdcode.info
H28,H00-H59,H25-H28,,,,Catarata y otros trastornos del cristalino en enfermedades clasificadas en otra parte,2,icdcode.info
Z40-Z54,Z00-Z99,,,,,Personas en contacto con los servicios de salud para procedimientos específicos y cuidados de salud,1,icdcode.info
Z55-Z65,Z00-Z99,,,,,"Personas con riesgos potenciales para su salud, relacionados con circunstancias socioeconómicas y psicosociales",1,icdcode.info
Z70-Z76,Z00-Z99,,,,,Personas en contacto con los servicios de salud por otras circunstancias,1,icdcode.info
